"동별","연령별","항목","단위","2024. 4/4","2025. 1/4","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"종로구","60~64세","계","","11548","11516","8988","9704","10382","10725","11209","11576","11780","11770","11688","11602","11548",
"종로구","60~64세","한국인","","11293","11245","8775","9478","10124","10490","10933","11274","11484","11511","11399","11332","11293",
"종로구","60~64세","등록외국인","","255","271","213","226","258","235","276","302","296","259","289","270","255",
"종로구","65~69세","계","","9874","9892","7748","7759","7500","7662","7755","7959","8569","8954","9047","9511","9874",
"종로구","65~69세","한국인","","9723","9720","7665","7679","7411","7568","7648","7854","8464","8841","8902","9357","9723",
"종로구","65~69세","등록외국인","","151","172","83","80","89","94","107","105","105","113","145","154","151",
"종로구","70~74세","계","","6532","6787","6956","6867","6661","6605","6596","6754","6784","6312","6251","6277","6532",
"종로구","70~74세","한국인","","6478","6725","6919","6839","6636","6581","6569","6702","6732","6254","6184","6218","6478",
"종로구","70~74세","등록외국인","","54","62","37","28","25","24","27","52","52","58","67","59","54",
"종로구","75~79세","계","","5421","5483","4814","4968","5274","5872","5964","5858","5787","5400","5237","5309","5421",
"종로구","75~79세","한국인","","5389","5441","4798","4953","5263","5858","5948","5836","5768","5383","5220","5285","5389",
"종로구","75~79세","등록외국인","","32","42","16","15","11","14","16","22","19","17","17","24","32",
"종로구","80~84세","계","","4351","4331","2663","2871","3112","3329","3549","3849","4011","4089","4358","4342","4351",
"종로구","80~84세","한국인","","4337","4316","2646","2861","3104","3320","3538","3836","3999","4078","4345","4328","4337",
"종로구","80~84세","등록외국인","","14","15","17","10","8","9","11","13","12","11","13","14","14",
"종로구","85~89세","계","","2509","2551","1370","1405","1487","1612","1686","1844","1985","2078","2117","2324","2509",
"종로구","85~89세","한국인","","2500","2542","1365","1400","1480","1602","1678","1837","1979","2071","2109","2316","2500",
"종로구","85~89세","등록외국인","","9","9","5","5","7","10","8","7","6","7","8","8","9",
"종로구","90~94세","계","","889","937","606","589","603","626","692","727","804","753","729","764","889",
"종로구","90~94세","한국인","","884","931","605","588","602","625","691","725","802","750","725","760","884",
"종로구","90~94세","등록외국인","","5","6","1","1","1","1","1","2","2","3","4","4","5",
"종로구","95~99세","계","","223","218","183","223","234","250","269","275","291","200","190","202","223",
"종로구","95~99세","한국인","","222","217","182","223","234","250","269","275","291","200","190","201","222",
"종로구","95~99세","등록외국인","","1","1","1","-","-","-","-","-","-","-","-","1","1",
"종로구","100세 이상","계","","41","43","197","210","220","226","231","253","276","32","29","35","41",
"종로구","100세 이상","한국인","","41","43","196","209","220","226","231","253","276","32","29","35","41",
"종로구","100세 이상","등록외국인","","-","-","1","1","-","-","-","-","-","-","-","-","-",
"중구","합계","계","","131214","130418","136227","134329","134409","134593","135633","136488","134635","131787","130785","131793","131214",
"중구","합계","한국인","","120544","119850","128065","125733","125249","125709","125725","126171","125240","122499","120437","121312","120544",
"중구","합계","등록외국인","","10670","10568","8162","8596","9160","8884","9908","10317","9395","9288","10348","10481","10670",
"중구","0~4세","계","","2775","2681","4806","4564","4538","4426","4185","4021","3540","3140","3011","2924","2775",
"중구","0~4세","한국인","","2562","2512","4582","4295","4242","4139","3893","3693","3281","2927","2789","2687","2562",
"중구","0~4세","등록외국인","","213","169","224","269","296","287","292","328","259","213","222","237","213",
"중구","5~9세","계","","3048","2962","4036","4063","4080","4002","3935","3949","3827","3674","3454","3219","3048",
"중구","5~9세","한국인","","2754","2672","3874","3884","3875","3788","3704","3696","3555","3372","3175","2943","2754",
"중구","5~9세","등록외국인","","294","290","162","179","205","214","231","253","272","302","279","276","294",
"중구","10~14세","계","","3057","3024","4268","3755","3541","3544","3453","3347","3288","3272","3166","3144","3057",
