district_code,district,year,area
11680,강남구,2017,39.50
11680,강남구,2018,39.50
11680,강남구,2019,39.50
11680,강남구,2020,39.50
11680,강남구,2021,39.50
11680,강남구,2022,39.50
11680,강남구,2023,39.50
11710,송파구,2014,33.88
11710,송파구,2015,33.88
11710,송파구,2016,33.88
11710,송파구,2017,33.87
11710,송파구,2018,33.87
11710,송파구,2019,33.87
11710,송파구,2020,33.87
11710,송파구,2021,33.88
11710,송파구,2022,33.88
11710,송파구,2023,33.88
11740,강동구,2014,24.59
11740,강동구,2015,24.59
11740,강동구,2016,24.59
11740,강동구,2017,24.59
11740,강동구,2018,24.59
11740,강동구,2019,24.59
11740,강동구,2020,24.59
11740,강동구,2021,24.59
11740,강동구,2022,24.59
11740,강동구,2023,24.59
