district_code,district,year,private_name
11170,용산구,2014,레브트레이닝
11170,용산구,2014,에스퍼스널트레이닝
11170,용산구,2014,팀하드 피티
11170,용산구,2015,스포벡
11170,용산구,2015,시크모어 웰니스 스튜디오
11170,용산구,2015,와가짐
11170,용산구,2016,랜스앤제이 퍼스널 트레이닝 스튜디오
11170,용산구,2016,와이짐
11170,용산구,2016,유즈웰(USEWELL)
11170,용산구,2016,칼라퍼스널트레이닝
11170,용산구,2017,더블에이 이촌
11170,용산구,2017,만리기획
11170,용산구,2017,찰스짐
11170,용산구,2017,파프짐
11170,용산구,2017,피트 트레이닝센터
11170,용산구,2018,빅짐
11170,용산구,2018,에스웨이 피트니스
11170,용산구,2018,판크 트레이닝클럽
11170,용산구,2018,후핏
11170,용산구,2019,디스이즈짐(THIS IS GYM)
11170,용산구,2019,라온휘트니스
11170,용산구,2019,스포벡휘트니스
11170,용산구,2019,진핏퍼스널트레이닝
11170,용산구,2019,짐나우 퍼스널트레이닝
11170,용산구,2019,팀하드 피트니스
11170,용산구,2020,F45 트레이닝 한남
11170,용산구,2020,FIT NOMAD
11170,용산구,2020,NEW RUN
11170,용산구,2020,Sanctuary
11170,용산구,2020,TIM GYM
11170,용산구,2020,내셔널짐
11170,용산구,2020,모어피클
11170,용산구,2020,바디컨설팅
11170,용산구,2020,에이블짐 이태원역점
11170,용산구,2020,짐나우 신용산점
11170,용산구,2021,리콥 웰니스 프리미엄
11170,용산구,2021,맹그로브 짐
11170,용산구,2021,서울시티크루
11170,용산구,2021,센트럴짐
11170,용산구,2022,MCT GYM 용산
11170,용산구,2022,대짐(大GYM)
11170,용산구,2022,마음다짐
11170,용산구,2022,업핏 한남
11170,용산구,2022,엘피PT&필라테스
11170,용산구,2022,원(1)GYM
11170,용산구,2022,이태원짐
11170,용산구,2022,크로스핏 남산
11170,용산구,2022,텐세그리티
11170,용산구,2023,드래곤짐
11170,용산구,2023,런앤리프트
11170,용산구,2023,상떼(Sante.)
11170,용산구,2023,스카이짐 GDR골프아카데미 헬스
11170,용산구,2024,국대교정
11170,용산구,2024,국대교정
11170,용산구,2024,내셔널짐 피티&골프
11170,용산구,2024,아모레퍼시픽 AP 피트니스
11170,용산구,2024,워너블짐
11170,용산구,2024,위워크아웃
11170,용산구,2024,이루어GYM
11170,용산구,2024,제이핏
